C. & S.,Basic data and indicators,Country Code,Units,Notes,Series,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,
706-1.33,SOMALIA,SOM,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
710-1.33,SOUTH AFRICA,ZAF,US$ Millions,,IMF,"11,202","10,468","10,484","9,140","8,807","9,706","9,789","9,064","2,716","2,113","4,793",
728-1.33,SOUTH SUDAN,SSD,US$ Millions,,IMF,..,..,..,22,24,26,12,..,..,..,25,
724-1.33,SPAIN,ESP,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
144-1.33,SRI LANKA,LKA,US$ Millions,,IMF,"1,756","2,506","3,278","3,978","4,591","5,083","5,608","4,663","1,076",615,"1,357",
275-1.33,STATE OF PALESTINE,PSE,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,1/ West Bank and Gaza.
736-1.33,SUDAN,SDN,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
740-1.33,SURINAME,SUR,US$ Millions,,IMF,79,92,103,99,74,61,73,64,19,14,32,
752-1.33,SWEDEN,SWE,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
756-1.33,SWITZERLAND,CHE,US$ Millions,,IMF,"19,567","20,239","21,355","20,138","19,784","20,398","21,296","21,378","11,110","12,123","19,225",
760-1.33,SYRIAN ARAB REPUBLIC,SYR,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
158-1.33,TAIWAN PROVINCE OF CHINA,TWN,US$ Millions,1/,IMF,"14,115","14,782","17,419","16,987","12,824","14,847","16,366","17,102","2,346",860,"3,381",1/ Source from 2017: Central Bank of Taiwan.
762-1.33,TAJIKISTAN,TJK,US$ Millions,,IMF,287,233,220,146,150,172,171,179,102,99,74,
834-1.33,"TANZANIA, UNITED REPUBLIC OF",TZA,US$ Millions,,IMF,"1,754","1,939","2,047","1,924","2,149","2,265","2,465","2,625",726,"1,324",..,
764-1.33,THAILAND,THA,US$ Millions,,IMF,"34,565","41,765","38,451","44,851","48,459","57,057","61,383","64,371","14,573","5,276","16,492",
626-1.33,TIMOR-LESTE,TLS,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
768-1.33,TOGO,TGO,US$ Millions,,IMF,206,233,233,212,223,245,269,264,151,..,..,
776-1.33,TONGA,TON,US$ Millions,,IMF,40,47,38,46,53,49,48,57,48,9,10,"1/ 1999, 2000 Source: National Reserve Bank of Tonga."
780-1.33,TRINIDAD AND TOBAGO,TTO,US$ Millions,,IMF,852,856,875,809,708,717,541,481,152,117,506,
788-1.33,TUNISIA,TUN,US$ Millions,,IMF,"2,931","2,863","3,042","1,869","1,706","1,782","2,320","2,683","1,007","1,241",..,
792-1.33,TÜRKIYE,TUR,US$ Millions,,IMF,"32,248","38,748","40,859","36,347","26,875","32,483","37,505","45,789","16,719","33,706","57,849","1/ 2001, 2002: country data. From 2001 including expenditure of the nationals residing abroad."
795-1.33,TURKMENISTAN,TKM,US$ Millions,,..,..,..,..,..,..,..,..,..,..,..,..,
796-1.33,TURKS AND CAICOS ISLANDS,TCA,US$ Millions,1/,country,..,..,..,..,..,..,..,..,..,..,..,1/ 1995-2002: country data.
798-1.33,TUVALU,TUV,US$ Millions,,..,..,4.8,4.7,6,5.8,6.7,7,8.7,2.1,1,..,
800-1.33,UGANDA,UGA,US$ Millions,,IMF,"1,157",960,984,"1,049","1,118",954,"1,522","1,400",519,942,..,
804-1.33,UKRAINE,UKR,US$ Millions,,IMF,"5,988","5,931","2,264","1,662","1,723","2,019","2,269","2,595",669,"1,387",849,
784-1.33,UNITED ARAB EMIRATES,ARE,US$ Millions,1/,CB,"10,924","12,389","15,221","25,587","28,657","29,706","34,610","38,413","24,615","34,440",..,"Note 2019: the source of the data changed and therefore, are not comparable with those of previous years. New sources: The Federal Authority for Identity and Citizenship, Economic Survey, Household income and expenditure survey, Mirror statistics for GCC data and Tourism surveys done by local tourism authorities.
1/ Source: Central Bank of the U.A.E. 1995-1999: hotel revenues. Including domestic tourism and nationals residing abroad."
826-1.33,UNITED KINGDOM,GBR,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
840-1.33,UNITED STATES OF AMERICA,USA,US$ Millions,,IMF,"195,113","213,105","222,746","230,574","228,549","233,758","241,984","239,065","84,297","84,171","165,461",
850-1.33,UNITED STATES VIRGIN ISLANDS,VIR,US$ Millions,1/,country,"1,210","1,168","1,319","1,324","1,343","1,202",993,"1,031",686,"1,004",..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
858-1.33,URUGUAY,URY,US$ Millions,,IMF,"2,666","2,481","2,341","2,349","2,396","2,924","2,712","2,341","1,085",587,"1,838",
860-1.33,UZBEKISTAN,UZB,US$ Millions,1/,IMF,457,749,660,694,579,835,"1,314","1,711",400,722,"1,731",1/ 1996-2010: country data.
548-1.33,VANUATU,VUT,US$ Millions,,IMF,268,314,284,254,276,251,273,287,58,2,..,
862-1.33,"VENEZUELA, BOLIVARIAN REPUBLIC OF",VEN,US$ Millions,,IMF,904,926,900,654,546,..,..,..,..,..,..,
704-1.33,VIETNAM,VNM,US$ Millions,1/,country,"6,850","7,250","7,410","7,350","8,500","8,890","10,080","11,830","3,232",149,..,"1/ The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
886-1.33,YEMEN,YEM,US$ Millions,,IMF,"1,005","1,097","1,199",116,116,..,..,..,..,..,..,
894-1.33,ZAMBIA,ZMB,US$ Millions,,IMF,..,..,..,..,..,..,..,..,..,..,..,
716-1.33,ZIMBABWE,ZWE,US$ Millions,1/,IMF,174,183,186,191,194,158,191,285,66,..,..,"1/ 1995-2008: The expenditure figures are those provided by the country to UNWTO, which do not appear in the International Monetary Fund data."
